2015-11-08 19:03:50,250 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\Alex\workspace\Spring4MVCHelloWorldDemo\pom.xml
2015-11-08 19:03:51,937 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.webystique.springmvc:Spring4MVCHelloWorldDemo:0.0.1-SNAPSHOT @ C:\Users\Alex\workspace\Spring4MVCHelloWorldDemo\pom.xml.
2015-11-08 19:03:53,423 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring4MVCHelloWorldDemo/src/main/java
2015-11-08 19:03:53,423 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Spring4MVCHelloWorldDemo/src/main/resources
2015-11-08 19:03:53,423 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring4MVCHelloWorldDemo/src/test/java
2015-11-08 19:03:55,797 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2015-11-08 19:03:56,433 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-08 19:03:56,440 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-08 19:03:56,443 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-08 19:03:56,444 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Alex\workspace\Spring4MVCHelloWorldDemo\src\test\resources
2015-11-08 19:04:48,828 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.webystique.springmvc:Spring4MVCHelloWorldDemo:0.0.1-SNAPSHOT @ C:\Users\Alex\workspace\Spring4MVCHelloWorldDemo\pom.xml.
2015-11-08 19:04:48,868 [Worker-5] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-webmvc/${springframework.version}/spring-webmvc-${springframework.version}.pom
2015-11-08 19:04:49,757 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-08 19:04:49,761 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-08 19:04:49,762 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-08 19:04:49,764 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Alex\workspace\Spring4MVCHelloWorldDemo\src\test\resources
